,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7449,0.7466,0.8178,0.4997,0.8177,0.7616,0.702,0.8323
TXP,0.8368,0.7905,0.8734,0.5685,0.7329,0.677,0.6554,0.7
ABP,0.7996,0.7618,0.8327,0.4902,0.5814,0.6197,0.5623,0.6901
AIP,0.871,0.8322,0.9131,0.6216,0.7071,0.6986,0.6402,0.7688
AVP,0.8201,0.6738,0.7891,0.3272,0.4775,0.4321,0.4023,0.4667
ACP,0.8798,0.6448,0.742,0.3183,0.3345,0.3819,0.427,0.3455
AFP,0.8152,0.6529,0.7511,0.2559,0.2965,0.3505,0.2898,0.4435
DDV,0.9413,0.647,0.8813,0.3522,0.3814,0.375,0.4615,0.3158
CPP,0.9541,0.7149,0.8694,0.4986,0.453,0.5155,0.6098,0.4464
CCC,0.9814,0.8343,0.9573,0.6572,0.5196,0.6667,0.6552,0.6786
APP,0.9775,0.5,0.5516,0.0,0.0253,0.0,0.0,0.0
AAP,0.9853,0.5657,0.6892,0.253,0.158,0.2105,0.5,0.1333
AHTP,0.9892,0.6091,0.7774,0.2669,0.1404,0.2667,0.3333,0.2222
PBP,0.9932,0.5,0.6767,0.0,0.0106,0.0,0.0,0.0
QSP,0.9971,0.7857,0.9882,0.7548,0.8454,0.7273,1.0,0.5714
